title,disc,digital,id,poster,actors,genres,rating,content_rating,year,duration_str,duration_min,trailer,plot_summary
Batman Begins,BR,yes,tt0372784,"https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg","Christian Bale, Michael Caine, Ken Watanabe","Action, Crime, Drama",8.3,PG-13,2005,2h 20m,140.0,https://www.youtube.com/embed/neY2xVmOfUM,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
Batman V Superman: Dawn Of Justice,BR,yes,tt2975590,"https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ben Affleck, Henry Cavill, Amy Adams","Action, Adventure, Sci-Fi",6.5,PG-13,2016,2h 32m,152.0,https://www.youtube.com/embed/0WWzgGyAH6Y,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.
"Batman, The",NONE,yes,tt1877830,"https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@._V1_QL75_UX190_CR0,0,190,281_.jpg","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","Action, Crime, Drama",7.8,PG-13,2022,2h 56m,176.0,https://www.youtube.com/embed/mqqft2x_Aa4,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
"Beautiful Mind, A",DVD,no,tt0268978,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Russell Crowe, Ed Harris, Jennifer Connelly","Biography, Drama",8.2,PG-13,2001,2h 15m,135.0,https://www.youtube.com/embed/YWwAOutgWBQ,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
Beavis And Butthead Do America,DVD,no,tt0115641,"https://m.media-amazon.com/images/M/MV5BYjk1ZDI5ODYtOTU2Yy00N2Q2LWIzMjQtY2NkMGQzMmQ2YTBmXkEyXkFqcGdeQXVyOTYyMTY2NzQ@._V1_QL75_UX190_CR0,1,190,281_.jpg","Joe Stillman, Brian Mulroney","Animation, Adventure, Comedy",6.8,PG-13,1996,1h 21m,81.0,https://www.youtube.com/embed/U7WoJvEAuPU,"Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score."
Beerfest,DVD,no,tt0486551,"https://m.media-amazon.com/images/M/MV5BMTI4NzYyMDE0OF5BMl5BanBnXkFtZTcwOTIzODczMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Jay Chandrasekhar, Kevin Heffernan, Steve Lemme",Comedy,6.2,R,2006,1h 50m,110.0,https://www.youtube.com/embed/aDaxX_bGsDc,"Two brothers travel to Germany for Oktoberfest, only to stumble upon a secret, centuries-old competition described as a ""Fight Club"" with beer games."
Big Hero 6,NONE,yes,tt2245084,"https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_QL75_UY281_CR4,0,190,281_.jpg","Ryan Potter(voice), Scott Adsit(voice), Jamie Chung(voice)","Animation, Action, Adventure",7.8,PG,2014,1h 42m,102.0,https://www.youtube.com/embed/z3biFxZIJOQ,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
"Big Short, The",BR,yes,tt1596363,"https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,8,190,281_.jpg","Christian Bale, Steve Carell, Ryan Gosling","Biography, Comedy, Drama",7.8,R,2015,2h 10m,130.0,https://www.youtube.com/embed/vgqG3ITMv1Q,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
Billy Madison,DVD,no,tt0112508,"https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg","Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras",Comedy,6.3,PG-13,1995,1h 29m,89.0,https://www.youtube.com/embed/V2Q40rXJuMU,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again."
Black Panther,BR,yes,tt1825683,"https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Action, Adventure, Sci-Fi",7.3,PG-13,2018,2h 14m,134.0,https://www.youtube.com/embed/xjDjIWPwcPU,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
